Title,Content,Date,Rating
Magasin nul des rayons vides en…,"Après avoir trouvé des rayons vides en pleine journée, j'ai attendu 3 semaines et ai téléphoné pour avoir un renseignement et après avoir eu un interlocuteur que j'ai contredit,celui-ci m'a raccroché au nez n'étant pas content de ce que je lui avais dit. Belle preuve du sens du commerce, pas étonnant que le magasin de st orens soit, par contre cela est à l'inverse de la politique Leclerc; je ne manquerai pas d'écrire à Mr Michel Édouard.",2020-09-16,medium
personnel désagréable produit plus cher…,"personnel désagréable produit plus cher que concurent  ex rhum Négritas Leclerc 16.75 CARREFOUR 12.8O erreur en caisse ,ne rembourse pas ,fait bon d'achat",2020-09-15,medium
Application Mon Leclerc sur smartphone…,"Application Mon Leclerc sur smartphone inconnue de la caissière pour finaliser les achats. Réponse à peine polie, je suis passé à une autre caisse, j'ai déballé tous mes articles sans l'application. J'ai effacé l'application de mon iPhone. Je suis revenu à la scanette comme avant pour les achats suivants.",2020-09-14,medium
Viande avariée trop vite.,"En général je n'ai pas trop à me plaindre mais une barquette de viande achetée il y a 2 jours ""à consommer jusqu'au 14"", on est le 14 à midi, j'ouvre la barquette soigneusement conservée au frigo et la viande sent mauvais et est gluante, donc déjà périmée. Ce n'est pas la 1ere fois.",2020-09-14,medium
Lundi 14 septembre,Lundi 14 septembreFile d attente en caisse trop longue,2020-09-14,medium
Une étoile parce que ZÉRO c'est pas…,Une étoile parce que ZÉRO c'est pas possible. Madame detaverniez une vraie pouf fiace  elle fait fuir les clients de belaing le patron devrait questionner les clients sur leur personnel il en a pas mal qui se ferait viré,2020-09-13,medium
Personnel désagréable à souhait,"Comment dire !! je mets une étoile car pas moyen de ne pas en mettre , mon dieu que ça a changé en quelques mois , le personnel froid et limite désagréable , la caissière avec qui nous sommes passé avait royalement l'air de se ""faire Ch.."" 2 de tension , plus de temps a la caisse que dans tout le magasin , la plupart des promos même pas proposé , je venais toutes les semaines , je suis resté un moment sans y venir et là c'est la surprise , mais pas dans le bon sens du terme , les prix sont élevés , brefff il serait peut-être temps de recadrer le personnel car sans client ils n'auraient pas de boulot",2020-09-13,medium
"Livraison à domicile complètement nulle, aucune écoute du client","Cela fait longtemps que je fais appel au service de livraison chez Leclerc. Depuis quelques temps, les oublis dans les commandes ne cessent d'augmenter et de se reproduire. Tout ça pour le prix de 10€ !!! Malgré les mails que j'ai envoyés, rien n'a changé et les réponses automatiques s'enchainent, c'est inadmissible. Je vais me tourner vers la concurrence à partir de ma prochaine commande.",2020-09-11,medium
Hier je suis allée faire mes courses…,Hier je suis allée faire mes courses dans la périphérie de vichy. Un poste de gel est installé entrée côté parapharmacie ( très bien) j ai croisé 2 couples avec enfants (ils parlaient entre entre-eux) ils ont contournés le gel est sont rentrées dans Leclerc. Va t il falloir remettre un contrôle (je le souhaite).,2020-09-11,medium
Je me suis rendu à l'accueil du Leclerc…,"Je me suis rendu à l'accueil du Leclerc d'Enval le lundi 7 septembre 2020 à 10h pour créer un Dossier 3 fois sans frais pour acheté un PC portable. Les deux employés m'ont radicalement manqué de respect en me considérant comme un moins que rien. J'avais tout les papiers en ma possession au nom de mon épouse pour réaliser le dossier mais elles ont refusé. Aucun sens du commerce ni d'accueil, elles auraient quand même pu avancer le dossier et ma femme serait passée plus tard.  Avait-elle envie de travailler???? Où pas???? Pensez à la reconversion mesdames l'incompétence ne se corrige jamais.",2020-09-08,medium
Les livraisons  ne correspondent  pas…,Les livraisons  ne correspondent  pas aux commandes  en ligne.Attention,2020-09-08,medium
Ma commande devait être livrée le 3/9,"Ma commande ""High tech"" devait être livrée le 3/9, aujourd'hui c'est le 8/9. Aucun message pour signaler le retard et aucun numéro de téléphone pour me reseigner. Pas sérieux du tout ! Je ne commanderai jamais !",2020-09-08,medium
Nuls,Ils sont nuls. Aucun respect du client. Ce matin livraison entre 09h et 10h pas de livreur. On m'appelle pour me dire qu'il aura 45mn à 1h je dis non. Sce client me dit je vous rappelle. 40 mn plus tard rien. Je rappelle on me répond je contact le chauffeur. Non je ne peux pas attendre.  Re livraison ce soir entre 20h et 22h et rien 🤬. Et toute les autres commandes j'ai eu des problèmes. C'est terminé le prix pas trop élevé ne justifie pas de supporter tout ça,2020-09-07,medium
Nous recevons des publicités papier…,"Nous recevons des publicités papier dans nos boîtes aux lettres ! Nous allons dans notre Leclerc et à chaque fois même discours : nous ne participons pas à l'offre, voir les Leclerc concernés au dos de la publicité ! Quand on y regarde de plus près, en effet, il faut faire des kilomètres pour pouvoir profiter de l'offre ! Quel est l'intérêt d'envoyer cela s'il faut faire 1h de route pour profiter d'une offre ! Je déconseille vivement !",2020-09-07,medium
Très déçue,"Très déçue, je vais le 4/09/2020 pour acheter la promo de tetaf ingenio qui devait être en promotion du 1er/09 au 12/09/2020  et on me répond qu'il n'y en a plus!!!!  C'est vraiment se moquer du monde. Le prospectus publicitaire n'est pas respecter.",2020-09-04,medium
J’adore,J’adore faire mes courses à Leclerc ! Prix super ni très élever ni très bas ! Quand y’a les promo c’est encore mieux!!!!,2020-09-02,medium
Déception et colère...,"Le 17/08/2020, je me suis déplacé afin d'obtenir un RDV pour mon VHL (TWINGO) au centre auto de Rouffiac (31),  et ai  demandé la possibilité de changer mes 2 pneus avant et les plaquettes de frein. Le centre auto Leclerc ayant ma carte grise et ayant regardé mon VHL me fixe un RDV pour le lundi 31/08/2020.Je me rends au rdv fixé et dépose mon VHL. 30 minutes plus tard, le centre auto Rouffiac me rappel pour m'informer, qu'il n'avait pas les bons pneus (le mécanicien a commander 2 pneus arrières... En arrivant au centre auto Leclerc, j'apprends que rien n'a été effectué car non seulement, il y a eu une erreur dans la commande des pneus mais que mes disques avant devaient être changé... Habitant à Montjoire (19km de J'ai donc fait 76 km pour rien... Ce n'est pas professionnel et ce n'est pas la première fois que ce centre auto Leclerc se montre incompétent en la matière. Il m'est arrivé la même ""galère"" pour mon autre VHL (Peugeot 308) alors que je souhaitait effectuer une recharge de produit pour ma climatisation. Prise de RDV avec enregistrement de ma carte grise... pour que le jour du RDV, il me rappel 40 mn plus tard qu'il n'avait pas le bon gaz... donc 76 km pour un échec... Je n'irais plus dans ce centre auto.Ayant donné un accompte, je suis malheureusement obligé (à contre coeur) de revenir pour la TWINGO...Richard ROLLAND",2020-09-01,medium
