Title,Content,Date,Rating
intermarché st yrieix la perche 87500…,"intermarché st yrieix la perche 87500 avenue de périgueux; une employée est détestable avec tout le monde , elle passe son temps à rabaisser et à humilier les clients , chose facile avec une clientèle rurale et âgée, mais les couples de 40 ans ne lui font pas peur. Le magasin perd de plus en plus de clients par sa faute ( entre clients on parle), cette femme est proche de lucifer, c'est insoutenable, et quand vous demander à voir un responsable celui-ci (ou celle-ci ) vous répond qu'il est au courant, que le problème est récurrent, mais qu'il ne peut malheureusement rien faire . Cette personne doit bénéficier d'un soutien et d'une protection particulière de toutes façons elle sait s'arrêter à chaque fois juste avant la faute professionnelle et s'arrange aussi à ce que ses supérieurs soient absent lorsque qu'elle opère; par contre quand vous demandez à voir un responsable de magasin après une de ses actions maudites elle est beaucoup plus en retrait et effacée, normal pas vue pas prise . Voilà , c'est dommage il y a tellement de gens compétents qui pourraient la remplacer .",2020-09-14,medium
Intermarche BREVAL,"Intermarche BREVALJ'ai vue des produits périmés en rayon !  Caissières arrogantes, tout est hors de prix, un magasin à éviter je vais chez LECLERC...",2020-09-12,medium
Intermarché drive Montpon-ménestérol…,"Intermarché drive Montpon-ménestérol 24700 Dordogne.personnel gentil sympa OK.Le problème est que lors de la commande par internet la veille, les articles sont disponibles mais....surprise le lendemain lors de la récupération de la commande il manque TOUJOURS des articles que plus est sont essentiels. Ceci quasi toutes les semaines, on peut compte les semaines que la commande est complète!Les fruits ne sont pas n'ont plus de la première fraîcheur.Conclusion NAVRANT est DOMMAGE !!!",2020-09-10,medium
remarque sur intermarché de ramonville…,"remarque sur intermarché de ramonville st-agne.  samedi  5 septembre, dans le magasin : employés  masques sous le menton, d'autres nez à l'air 'ainsi qu'à la caisse où je  suis passée. J'en ai fait la remarque à Monsieur  le Directeur qui m'a envoyée promener d'une façon assez cavalière : n'a pas d'ordres  à recevoir de ma  part  je ne donnais  pas d'ordre je faisais une remarque.",2020-09-08,medium
Un petit magasin de proximité assez…,"Un petit magasin de proximité assez bien entretenu. Il est sympa d'avoir un large choix de plantes ou de fleurs encore faut-il qu'elles soient en bon état ce qui n'est pas souvent le cas. Il est aussi dommage que pour des produits quotidien la direction ne laisse pas assez de place aux produits de grandes marques. Le rayon pâtisseries n'est pas frais. À leur décharge un gros plus pour le rayon fruits et légumes. Par ailleurs, et malgré un accueil à chaque fois peu agréable des caissières et peu enclin à vous renseigner, et quand c'est fait, c'est les dents serrées. C’est la première chose que j'ai remarqué et c'est tjrs le cas. Sur ce point, pourriez vous dire à l'une de vos caissières qui s'exprime comme un charretier de baisser la voix et de ses faire ses revendications auprès de son responsable en off ou en privé. Elle n'est pas sur un marché aux poissons. Je souligne que ce n'est pas le cas pour l'agent de sécurité ce qui est assez rare pour être souligné. Enfin, et peut-être le plus important, attention au manque d'affichage des prix, et dans le bac au vrac (accessoires à 1.50€) il est désagréable de se retrouver avec deux produits dont à 4€ et un à 3€50 quand vous regardez votre ticket de casse alors que ceux-ci ne sont pas étiquetés. C’est une pratique douteuse et illégale. Visité dimanche 26 avril (M08644 COO3 00013 T0023)",2020-09-07,medium
INTERMARCHE rue st charles 75015,"INTERMARCHE rue st charles 75015magasin mal organisé,rayons mal rangés et presque vide.....en particulier le rayon du poulet qui n'est pas frais....méfiance aux Résponsable aux dates....d'expirations c'est un danger pour le consommateur.dommage....",2020-09-06,medium
2 caisses d'ouvertes ce jour vers…,"2 caisses d'ouvertes ce jour vers 15h30. Ouverture d'une 3eme caisse... un minimum au vu de l'attente... il me semble que le bon sens voudrait que l'on invite le client qui attend depuis le plus longtemps, à s'installer et non au dernier de la file. Merci de sensibiliser votre équipe.",2020-09-02,medium
2 caisses 1/2 d attente une caisse…,2 caisses 1/2 d attente une caisse automatique qui ne marche jamais lamentable,2020-09-02,medium
tous unis contre la vie cher !,"ouai... j'achète à la poissonnerie du merlu. que des vers ! bourré de vers ! partout ! pour les poules sa ira très bien ou comme engraisau stand, des mouches qui rentre dans les bouches des poissons et n'en ressortent pasje crois que les mouches pondent 1000 oeuf environ !l'hygiène des stands de poisson... une horreurn'ont toujours pas mis en place des frigos celé avec des jointures (des vrai frigo quoi...) pour les poissons c'est à l'air, au contact de tout... avec une glace qui ne garde frais en fait que le coté en contact avec la glace ! l'autre est a l'air de 30°ignoble !les prix sont exorbitants !genre un exemple :pots de mais 2 euro à interau lidl 30 centimec'est à peut près ce genre de différence...seul la litière de 10L m'intéresse 1euro41INEDIT : je suis rentrée dans une usine Intermarché pour un devis pro il y a quelque annéefaut voir.. ""producteur et commerçant"" ""nous produisons nous meme nos produits"" ! ouai mon oeil ! ZERO ! croyez moi ZERO ! honteux leur usine ! sa ma degouté cette journée ! ce que j'ai vu m'a indigné et enragé ! dommage que je n'ai pas pu filmer ! je vous en aurait montré des choses ! ne venez plus au intermarché il faut les faire couler !préférez les auchant, lidl/aldi qui sont mieux !je suis passé au auchan gramont 31 quand j'était en vacance chez la familleet bin ! rien que le rayon de fruit et légumes sa fait 500m2 ! il est enorme j'avais jamais vu un magasin aussi enorme et avec tant de choix et que ""qualité"" je pense que c'est le seul..",2020-09-02,medium
Intermarché Longjumeau,Magasin trop chère ! Pas mal de produits trouver avec la DLC dépasser ! Rayon halal minuscule limite y’a rien ! Sinon quand y’a les promos sur les produits d’hygiène c’est pas mal,2020-09-02,medium
Service (?) Drive et le néant...,"A Intermarché, le service client est inexistant lors d'une réclamation, et répond si l'on est satisfait....(?) ce qui me fait donc dire qu'il est inexistantLors de ma précédente commande, où j'avais pris une boite de glace en cônes, j'ai eu la surprise lors de son ouverture de constater que la glace était totalement fondue et recongelée dans l'état, c'est à dire collée au carton d'emballage, et les cônes vidésDéçu, j'ai tout de même eu la mauvaise idée d'en consommer un, ce qui m'a valu une nuit très agitée, entre les toilettes et mon litTrès mécontent, j'ai tenu à en informer le site en question :Votre message : Bonjour, Concernant ma commande N°798133465 du 20/08 pour l'article crème brûlée glace cônes boite de 6 ces glaces sont toutes fondues et recongelées, la crème s'est répandue dans la boite. (pour preuve, la boite est votre disposition) Après en avoir mangé une, j'ai eu une violente intoxication alimentaire durant toute la nuit Inutile de me dire que ces cônes se sont décongelés après l'achat, j'ai toujours une glacière pour mes produits frais, et je suis à 10 minutes de trajet Merci de votre retourEt, comme pour mes précédentes réclamations, rien, pas de réponse, en dehors de la confirmation automatique du robot répondeur",2020-09-02,medium
Honteux d ça voir un prospectus géants…,Honteux d ça voir un prospectus géants pour une promotion sur les moule de hollande arriver midi plus rien dans le rayon,2020-09-01,medium
intermarche belleu pres de soissons,"intermarche belleu pres de soissonsachat de creme fraiche marque de distributeur,fabriquée dans la sarthe apparemment par mamie nova, une creme fraiche bien en deca des critéres d´attente du consommateur en la matiere, faible gustativement et decevante en comparaison des marques de distributeur cora ou carrefour copie a revoir en matiere d´achat, car les prix ne sont non plus meilleurs.",2020-08-29,medium
Concernant les masques hygiène farma,"Concernant les masques hygiène farma, au début, j'étais surprise par la forme et par la façon de le mettre mais, à l'usage et comparé à d'autres, notamment les masques tissu, je me suis aperçue que ces masques sont beaucoup plus supportables et on respire mieux; j'en ai donc racheté un paquet. Tant pis, si je surprends tout le monde avec ce rectangle sur mon visage",2020-08-29,medium
