Title,Content,Date,Rating
Incomplet et plus cher.,"Depuis le mois de mars nous commandons nos course chez Carrefour via leur site internet.Nous avons essayé deux carrefour différents un qui propose la livraison et un autre avec le drive où nous allons chercher nos courses.Je fais mes commandes avec plusieurs jours d'avance mais systématiquement il manque certains produits (régulièrement les mêmes comme du jambon). Dans le premier carrefour pas d'alternatives de produits proposée et dans le second, ils remplacent systématiquement par des produits presque 2X plus cher.Je me demande vraiment s'ils ne ""limitent"" pas les stocks pour le drive parce qu'honnêtement j'ai du mal à imaginer qu'ils n'avaient plus aucun paquet de jambon.J'ai déjà du me plaindre à deux reprises afin d'être remboursée de produits qui n'étaient pas dans mes courses mais qui m'avaient été comptés. Je peux comprendre quand il s'agit de 2 boites de carottes de 300gr mais quand on ""oublie"" des packs de 6L de boissons, qu'on les comptabilise et que quand je réclame auprès du livreur (à 21h45) , celui-ci nie afin de clôturer sa journée... Je n'apprécie pas.Bref je ne recommande pas le service et repars chez la concurrence.",2020-10-06,medium
J'ai utilisé le drive de carrefour,"J'ai utilisé le drive de Chambourcy :-( (je suis très habitué à celui de flins sur seine) cependant ma dernière commande le 24/09 il manquait environ 100 euros de marchandise !  Voilà plus d'une semaine que je les ai contacté et je reste sans nouvelle. Nous sommes le 4 octobre. Voilà je suis sidéré. Donc si vous utilisez le drive soyez très prudent. Et je ne dois pas etre le seul à me plaindre vu que le SAV ne m'a toujours pas répondu après bientôt 2 semaines.Suite de l'histoire: finalement carrefour a fini par me rembourser, il est donc évident que je suis bien moins agacé. Mais je pense que tous les drives ne se valent pas. j'apprécie celui de Flins sur seine, pour mon autre expérience je suis bien plus mitigé. Merci au SAV",2020-10-04,medium
Grand fan de carrefour....depuis peu a…,"Grand fan de carrefour....depuis peu a carrefour market(pres de parc...) je trouve anormal cet arrondisssement a chaque fois a notre defaveur...ca fait 9.03?  automatiquement on passe  a 9.05!!!! Mais j'ai les 3 cent? desolé ca MARCHE COMME CA!!!!!Ailleurs aux autres carrefours j'ai pas ce ""probleme""MerciUn client decu",2020-10-02,medium
je reviens du carrefour de Sorbiers,"je reviens du carrefour de Sorbiers , les gens qui garnissent les rayons n'ont pas de masque sur le nez et la bouche dans une zone rouge et même toutes les caissières ne le portent pas correctement , de nombreux clients sont aussi sans masques , je ne fréquenterai plus ce lieu",2020-10-01,medium
Bande d’incapables,Bande d’incapables Vous êtes à vomir,2020-10-01,medium
labege le drive le plus nul du secteur…,labege le drive le plus nul du secteur Toulousain toujours des produits manquants des échanges insolites et surtout la difficulté d'avoir un créneau de livraison  par manque de personnel dixit le drive lui même   appel au service client pour ensuite me faire remboursée l'absence de produits  facturés et ceci chaque semaine lol   bref aller vous servir ailleurs celà ne pourra être pire ..... figurez vous que c'est la réponse obtenue lors de mon appel au service client national,2020-09-30,medium
Je parle de carrefour de montigny le…,"Je parle de carrefour de montigny le brotenneux ( Yvelines), accueil du public  par  les caissières est lamentable, impossible de savoir les prix si on utilise pas la machine à code barre, c'est une anarchie totale au niveau des étiquettes. Changez de magasin, Auchan est 1000 fois meilleurs.",2020-09-30,medium
Arnaque des vignettes digitalisees,Attention arnaque sur les vignettes digitalisees.Carrefour vient de lancer la promotion des vignettes staub avec un service digital. Attention fuyez... les vignettes ne se créditent pas lorsque vous passez en drive. Après un envoi de 37 mails au service client toujours aucune réponse... lorsque je téléphone au service payant on me met en attente plus de 10 min et on m’assure que cela va être réglé puis rien ne se passe... il faut de nouveau appeler le service payant... lorsque j’appelle sur les services gratuits on me dit qu’ils ne peuvent rien faire car il faut contacter Carrefour fidélité au numéro payant uniquement! Lorsque je leur écris via msn il me réponde que j’ai eu un remboursement de deux produits sur 239 euros de commande par conséquent le problème est réglé mais toujours pas de vignettes ... je cherche encore la logique dans leur propos... quoiqu’il en soit même si je reste hyper respectueuse dans mes échange avec Carrefour je fais fasse à un mépris et une ignorance déconcertante!!!,2020-09-30,medium
Carrefour beaujoire service de sécurité…e dev,"Carrefour beaujoire service de sécurité sur leur portable prix en caisse qui ne correspondent pas au prix indiquer chef de caisse qui part verifier un prix mais qui nous oublie et quand par chance repasse devant parle comme un chien a la petite caissiere rayon mal ranger voir photo sur facebook , on ne reviendra pas",2020-09-26,medium
boycott carrefour,"2 mois que mon compte Czam est fermé et 1mois et demi que j’attends le soit disant chèque de clôture de compte qui a été envoyé m'assure t'on... aujourd'hui, j'appelle pour voir où ça en est et on me demande un RIB pour faire le virement.. à l'évidence, on me balade comme tant d'autres... On me ment et carrefour se permet de me voler sans scrupule... Perso, je lance une procédure avec l'UFC que choisir et je boycott, à vie, oui à vie carrefour... à bon entendeur...",2020-09-25,medium
Refusé pour 3 article bien que caisse prioritaire libre,"Je viens à l’instant de sortir du magasin, il est donc 12h47 donc le flux n’est pas très important. 2 baguette et une salade dans les mains je me dirige vers les caisses en bout de magasin quand je passe devant une caisse prioritaire avec le dernier client qui finalise son achat. Je me décide à avancer. La jeune femme en post avec les cheveux brun bouclée me dit que je ne suis pas prioritaire donc que je ne peux pas passer....... je me retourne personne derrière moi.... je croyais à une plaisanterie. Mais mademoiselle ou madame à insister car plutôt que de m’encaisser elle préférais nettoyer les scanettes. Heureusement une autre personnes (qui par ailleurs est une des plus agréable du magasin) m’a demandé de m’avancer vers elle en caisse carte pass car elle n’avait personne à encaisser. Merci à cette dame qui ne manque pas de bon sens. Et pour celle qui m’a envoyer sur les roses, j’espère pour elle qu’elle apprendra vite à être plus commerçante car l’argumentation du nettoyage est pitoyable surtout que juste après m’avoir refusé, elle a accepter d’encaisser un homme d’environ mon âge (30-40 ans) qui n’était lui non plus pas prioritaire. (Serait ce parce qu’il avait une allure de punk et qu’elle en avait peur?!) déçu et ce n’est pas la première fois que certaines sont désagréable (sourire, amabilité...)Il s’agissait du magasin à Langueux.",2020-09-25,medium
Des promos indisponibles dès le premier jour,"Attention des promos sont indisponibles dès le premier jour à l'ouverture et elles sont impossible à commander sur le site carrefour alors qu'elles apparaissent toujours.Cette pratique est détestable : appâter le client pour le faire venir alors que la promo est en quantité faible (1 exemplaire).expérience au carrefour NIORT avec le ""Set de cuisson 20 pièces inox SEB""J'ajoute que dans le prospectus, il est indiqué ""arrivage massif"" sur ce produit. qu'en pense la DGCCRF ? Massif : 1 exemplaire... D'autant plus que sur certains article il est indiqué quantité limitée à xxxx pièces. Là rien !",2020-09-25,medium
déception sur toute la ligne !,"pour le début de la foire au vin je me rends , muni d'un bon de réduction de 10 euros au carrefourmarket de La Rochette. Sur place je ne trouve pas le produit voulu et il n'y a aucun responsable pour m'aider. Quelques employés essayent mais ne trouve pas. L'un d'entre eux va voir dans les bureaux et revient me dire que ce que je veux (bordeaux médoc rollan de by) n'est pas disponible car il a fallu faire des choix et ils n'ont pas toutes les références du catalogue. Je me rends au carrefour market d'Albertville ou je trouve mon produit mais mon bon de réduction n'est pas valable dans ce magasin. Matinée assez désagréable !!!!!!",2020-09-24,medium
Lors de mon enregistrement de ma…,"Lors de mon enregistrement de ma commande sur le site de la Foire aux vins Carrefour ma commande a été bloquée a plusieurs reprises suite au paiement avec indication que le site était surchargé et qu'il fallait ressayer ultérieurement. A la septième tentative ma commande a été enregistrée. Les sommes correspondant aux 6 premières tentatives ont cependant été débitées de mon compte.J'ai recu un mail de Carrefour m'indiquant que ces sommes seraient remboursées sous une semaine.Cela a été le cas pour les 5 premières commandes avortées mais pas pour la sixième. Depuis 2 semaines malgré plusieurs appels et mails au service client la 6eme commande n'a pas été remboursée et aucune information ne m'a été communiquée pour m'indiquer quand je pouvais espérer le remboursement.Le seul point positif, j'ai pu récupérer ma commande passée à la septième tentative. Toutefois je n'ai pu bénéficier du bon d'achat de 15€ auquel j'avais droit car à force de passer des commandes j'ai oublier de le mentionner lors de la phase de paiement. Le conseiller que j'ai eu en ligne a refusé de me le déduire de ma commande.",2020-09-24,medium
Foire aux vins : Toujours pas livrée au bout de 20 jours,"Commande sur internet pour la foire aux vins le 04/09/2020 avec livraison promise avec appel dans les 8 jours .....  nous sommes le 23 et toujours rien mais ça a été débité sur mon compte!  3é jour bloqué pour soi disant réception entre 8h et 17h sans plus de précision... et on m'appelle vers 11h pour dire que la livraison ne pourra se faire ............. Je reçois chaque jour des mails de Carrefour indiquant  ""votre colis approche"" !!!!!!!!    mais toujours pas de livraison, normalement demain entre 8h et 17h!!!!  à voir et au vu d'un commentaire indiquant les erreurs , si je suis vraiment livrée demain, je contrôlerais chaque carton !  Carrefour sous traite à une société Benito mais c'est une société Coupé qui me contacte et qui reporte chaque jour la livraison sans plus d'explications. Carrefour devrait mieux choisir ses sociétés de livraison, une honte4éme jour sans livraison alors que j'ai été prévenue par la société de transports que j'allais l'être ce jour , j'ai donc rappelé le n° spécifique de Carrefour pour la livraison de la foire aux vins, la personne très sympa va  voir ça avec le transporteur pour une livraison impérative demain.............  à suivre.............Suite : surprise , la société de transport me signale à midi que je ne serais pas livrée et à 15h30, un livreur sonne à ma porte et me livre 16 cartons sur 20! Donc je ré-appelle de Carrefour service livraison : oui , il en manque bien 4 mais on ne peut vous dire quand ils seront livrés ............... on vous enverra un mail.Bref , à éviter Carrefour pour les foires aux vins et livraisonsMise à jour du 28/09 : enfin livrée , tous les cartons , 24 jours après la commande .",2020-09-23,medium
Déception et perte de confiance,"4 articles sélectionnés sur le catalogue. 2 absents dés le deuxième jour :- Brosse à dent double oral B ref PR0790 CROSS A- Comté JURAFLOR 18 mois.Un troisième bien situé dans la zone promotion en entrée de magasin mais la réduction ne le concerne pas....2 interrogations mais sans vraiment attente de réponse : - Produit épuisé en 10/12 heures d'ouverture ? Étonnant sauf si non livré ou en très petite quantité. - Subtilité au niveau du catalogue (bien lire qu'un               seul produit de la gamme bénéficie de la promo). - Pourquoi mettre des produits sans promo DANS la zone promotion ?En conclusion :  Carrefour ne va pas très bien, mais je ne pense pas que ces pratiques arrangent les choses. Seul point positif : le personnel, aimable et serviable mais qui ne peut que constater (il n'y en a plus..., en effet l'affichage n'est pas clair..., ça n'aurait pas du se trouver là...)",2020-09-23,medium
